VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-12-01 00:00:10,2015-12-01 00:06:43,1,1.20,-73.973190307617187,40.677906036376953,1,N,-73.985832214355469,40.665538787841797,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2015-12-01 00:00:10,2015-12-01 00:07:04,3,1.78,-73.974777221679688,40.760238647460937,1,N,-73.991966247558594,40.743438720703125,1,7.5,0.5,0.5,1.5,0,0.3,10.3
2,2015-12-01 00:00:10,2015-12-01 00:06:48,2,.66,-73.959823608398438,40.703010559082031,1,N,-73.958030700683594,40.694561004638672,2,6,0.5,0.5,0,0,0.3,7.3
1,2015-12-01 00:00:11,2015-12-01 00:25:10,2,11.80,-73.776832580566406,40.645366668701172,1,N,-73.884513854980469,40.755962371826172,2,35.5,0.5,0.5,0,0,0.3,36.8
1,2015-12-01 00:00:11,2015-12-01 00:23:52,1,6.70,0,0,1,N,0,0,2,22.5,0.5,0.5,0,0,0.3,23.8
2,2015-12-01 00:00:11,2015-12-01 00:11:26,1,3.14,-73.989608764648437,40.760551452636719,1,N,-73.953079223632812,40.776031494140625,1,12,0.5,0.5,2.66,0,0.3,15.96
2,2015-12-01 00:00:11,2015-12-01 00:04:24,1,.89,-73.920646667480469,40.765060424804688,1,N,-73.921562194824219,40.757251739501953,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2015-12-01 00:00:12,2015-12-01 00:17:21,1,10.44,-73.863563537597656,40.770065307617187,1,N,-73.964134216308594,40.756233215332031,2,29.5,0.5,0.5,0,5.54,0.3,36.34
1,2015-12-01 00:00:13,2015-12-01 00:24:38,2,6.50,-73.989593505859375,40.758926391601563,1,N,-73.980209350585938,40.676597595214844,1,22,0.5,0.5,4.65,0,0.3,27.95
2,2015-12-01 00:00:13,2015-12-01 00:05:40,1,.99,-73.996536254882813,40.726871490478516,1,N,-73.984817504882812,40.732250213623047,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2015-12-01 00:00:13,2015-12-01 00:11:37,2,3.21,-73.985450744628906,40.747108459472656,1,N,-73.948432922363281,40.770580291748047,2,11.5,0.5,0.5,0,0,0.3,12.8
