trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount,time
0.96,-73.97994232177734,40.765380859375,-73.96630859375,40.76308822631836,7.8,5.266666666666667
1.2,-73.99393463134766,40.74168395996094,-73.99766540527344,40.747467041015625,8.0,5.916666666666667
3.0,-73.98892211914062,40.72698974609375,-73.97559356689453,40.696868896484375,12.3,9.45
6.3,-73.97408294677734,40.76291275024415,-74.01280212402342,40.70220947265625,26.15,16.166666666666668
0.63,-73.96831512451173,40.75532913208008,-73.96208190917969,40.75891494750977,6.36,2.783333333333333
1.91,-73.99420928955078,40.74610137939453,-74.0042495727539,40.72180938720703,11.16,8.066666666666666
4.5,-74.00675964355469,40.71890640258789,-73.9896926879883,40.77285385131836,21.36,17.15
1.42,-73.9996337890625,40.734771728515625,-73.98906707763672,40.723121643066406,12.25,10.65
2.02,-73.98268127441406,40.731311798095696,-74.00601196289062,40.74523162841797,10.8,10.55
1.0,-73.99576568603516,40.74378967285156,-74.00262451171875,40.73054504394531,9.45,5.766666666666667
1.73,-73.99933624267578,40.72832107543945,-73.98088073730467,40.7377815246582,11.76,9.2
1.77,-73.97589874267578,40.7559814453125,-73.97711181640625,40.75017547607422,16.64,15.116666666666667
1.8,-73.98841094970702,40.76442337036133,-73.99378204345702,40.74340438842773,10.35,5.7
2.9,-74.00462341308595,40.72150039672852,-73.97710418701173,40.74701690673828,15.38,10.4
21.4,-73.78109741210938,40.64500045776367,-74.0085678100586,40.70286560058594,60.8,43.7
4.8,-74.00603485107422,40.73537063598633,-73.97029113769531,40.69006729125977,24.3,19.783333333333335
6.86,-73.98439025878906,40.75484848022461,-73.8968734741211,40.75121688842773,28.84,18.416666666666668
19.0,-73.78221893310547,40.64459609985352,-73.98414611816406,40.76995086669922,58.0,43.45
1.35,-73.98780822753906,40.755195617675774,-73.98178100585938,40.76842880249024,8.76,5.166666666666667
0.83,-74.00122833251955,40.75160598754883,-73.992431640625,40.75825881958008,5.8,2.216666666666667
0.93,-74.00305938720702,40.74898147583008,-73.99175262451173,40.75642013549805,6.8,3.716666666666667
0.68,-73.95500183105469,40.7203483581543,-73.95540618896483,40.72619247436523,5.3,2.183333333333333
1.2,-73.97319030761719,40.67790603637695,-73.98583221435547,40.6655387878418,9.95,6.55
1.78,-73.97477722167969,40.76023864746094,-73.9919662475586,40.74343872070313,10.3,6.9
0.66,-73.95982360839844,40.70301055908203,-73.95803070068358,40.69456100463867,7.3,6.633333333333334
11.8,-73.7768325805664,40.64536666870117,-73.88451385498048,40.75596237182617,36.8,24.983333333333334
3.14,-73.98960876464844,40.76055145263672,-73.95307922363281,40.77603149414063,15.96,11.25
0.89,-73.92064666748048,40.76506042480469,-73.92156219482422,40.75725173950195,7.8,4.216666666666667
10.44,-73.86356353759766,40.77006530761719,-73.9641342163086,40.75623321533203,36.34,17.15
6.5,-73.98959350585938,40.75892639160156,-73.98020935058595,40.67659759521485,27.95,24.416666666666668
0.99,-73.99653625488281,40.72687149047852,-73.98481750488281,40.73225021362305,8.76,5.45
3.21,-73.9854507446289,40.747108459472656,-73.94843292236328,40.77058029174805,12.8,11.4
4.68,-73.9648208618164,40.755516052246094,-73.91470336914062,40.7822265625,17.8,15.483333333333333
2.4,-73.99367523193358,40.75216674804688,-73.98421478271484,40.77983856201172,11.3,9.733333333333333
9.9,-73.8731689453125,40.77410507202149,-73.95481872558594,40.6718978881836,36.35,18.733333333333334
6.92,-73.99369049072266,40.751747131347656,-73.94405364990234,40.83701705932617,29.76,25.633333333333333
2.09,-73.99539184570312,40.76376724243164,-73.99664306640625,40.74279403686523,9.8,7.1
0.6,-73.97954559326173,40.72744369506836,-73.98783111572266,40.7238655090332,5.8,3.4
0.9,-73.96858978271484,40.767234802246094,-73.95980072021484,40.77940368652344,5.8,2.2333333333333334
0.4,-73.9701614379883,40.7588119506836,-73.97442626953125,40.75250625610352,4.8,1.95
